"","PLAYERNAME","ESPNID","url"
"1","David Aardsma",5933,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/5933.png"
"2","Fernando Abad",30417,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30417.png"
"3","Cory Abbott",41328,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41328.png"
"4","CJ Abrams",42402,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/42402.png"
"5","Albert Abreu",36041,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36041.png"
"6","Bobby Abreu",3537,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/3537.png"
"7","Bryan Abreu",41208,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41208.png"
"8","Jose Abreu",33095,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33095.png"
"9","Tony Abreu",28777,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/28777.png"
"10","Jeremy Accardo",6262,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/6262.png"
"11","Alfredo Aceves",29223,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/29223.png"
"12","Domingo Acevedo",35010,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/35010.png"
"13","Dustin Ackley",30372,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30372.png"
"14","Ronald Acuna",36185,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36185.png"
"15","Cristhian Adames",31659,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31659.png"
"16","Willy Adames",33675,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33675.png"
"17","Austin Adams",31660,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31660.png"
"18","Chance Adams",36160,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36160.png"
"19","David Adams",30679,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30679.png"
"20","Lane Adams",32911,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32911.png"
"21","Matt Adams",31359,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31359.png"
"22","Mike Adams",5969,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/5969.png"
"23","Riley Adams",NA,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/NA.png"
"24","Spencer Adams",33779,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33779.png"
"25","Jim Adduci",30019,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30019.png"
"26","Jo Adell",40854,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/40854.png"
"27","Tim Adleman",33962,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33962.png"
"28","Ehire Adrianza",30471,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30471.png"
"29","Jeremy Affeldt",5061,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/5061.png"
"30","Dario Agrazal",39813,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/39813.png"
"31","Jesus Aguilar",32132,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32132.png"
"32","Nick Ahmed",32355,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32355.png"
"33","Brady Aiken",34953,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/34953.png"
"34","Shogo Akiyama",42390,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/42390.png"
"35","Keegan Akin",36724,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36724.png"
"36","Andrew Albers",32754,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32754.png"
"37","Hanser Alberto",32839,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32839.png"
"38","Matt Albers",28525,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/28525.png"
"39","Ozzie Albies",33783,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33783.png"
"40","Al Alburquerque",30494,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30494.png"
"41","Jorge Alcala",41031,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41031.png"
"42","Arismendy Alcantara",32823,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32823.png"
"43","Sandy Alcantara",35241,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/35241.png"
"44","Sergio Alcantara",NA,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/NA.png"
"45","Victor Alcantara",33784,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33784.png"
"46","Scott Alexander",33123,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33123.png"
"47","Tyler Alexander",40360,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/40360.png"
"48","A.J. Alexy",NA,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/NA.png"
"49","Jorge Alfaro",31737,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31737.png"
"50","Anthony Alford",32812,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32812.png"
"51","Kolby Allard",34980,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/34980.png"
"52","Austin Allen",39870,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/39870.png"
"53","Cody Allen",32188,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32188.png"
